0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:12 -0700] "GET /WebQuiz/img/prolific.jpg HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:12 -0700] "GET /WebQuiz/img/machine.jpg HTTP/1.1" 200 7065
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:12 -0700] "GET /WebQuiz/img/prodigious.jpg HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:12 -0700] "GET /WebQuiz/img/practice.jpg HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:23 -0700] "GET /WebQuiz/MyPageServlet?id=hugh2&tab=qc&ind=da&order=1 HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:24 -0700] "GET /WebQuiz/MyPageServlet?id=hugh2&tab=qt&ind=da&order=1 HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:37 -0700] "GET /WebQuiz/SearchByCategory.jsp HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:41 -0700] "POST /WebQuiz/SearchByCategoryServlet HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:43 -0700] "GET /WebQuiz/homepage.jsp HTTP/1.1" 200 5975
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:41:46 -0700] "GET /WebQuiz/CreateQuiz.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:04 -0700] "POST /WebQuiz/NewQuestionServlet HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:10 -0700] "POST /WebQuiz/SelectQuestionTypeServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:21 -0700] "POST /WebQuiz/SaveQuestionServlet HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:23 -0700] "POST /WebQuiz/SelectQuestionTypeServlet HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:34 -0700] "POST /WebQuiz/SaveQuestionServlet HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:38 -0700] "POST /WebQuiz/SelectQuestionTypeServlet HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:56 -0700] "POST /WebQuiz/SaveQuestionServlet HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:42:58 -0700] "POST /WebQuiz/FinishCreateQuizServlet HTTP/1.1" 200 5041
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:43:03 -0700] "GET /WebQuiz/PracticeMode.jsp?ID=c4d2271f94b5e1e24def5a0d6dfad7b5 HTTP/1.1" 200 5131
0:0:0:0:0:0:0:1 - - [14/Mar/2015:14:43:14 -0700] "POST /WebQuiz/CompletePracticeServlet HTTP/1.1" 200 1233
